Status,A&W Order,Delivery Date,Job,Customer,Items,Input PDF,Output PDF,Issues
ISSUES,234667,6/11/2026,87067092 DAVIDSON 13,SAUSSY BURBANK HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order SAUSSY_87067092 DAVIDSON 13.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234667.pdf,P2: Raked edge detected; manual angle review recommended.
ISSUES,234668,6/11/2026,87067092.2 DAVIDSON 13,SAUSSY BURBANK HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order SAUSSY_87067092.2 DAVIDSON 13.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234668.pdf,P1: Raked edge detected; manual angle review recommended. | P2: Raked edge detected; manual angle review recommended.
ISSUES,234669,6/11/2026,87125245 EMERSON GLEN 70,M/I HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order MI HOMES_87125245 EMERSON GLEN 70.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234669.pdf,Process list item(s) missing from PDF: P2 | PDF item(s) missing from process list: P3 | P3: No matching process-list item row found.
OK,234670,6/11/2026,87125245.2 EMERSON GLEN 70,M/I HOMES,P1,C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order MI HOMES_87125245.2 EMERSON GLEN 70.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234670.pdf,
ISSUES,234671,6/11/2026,87366298 MORGAN HILL 301,TRUE HOMES LLC ****,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order TRUE HOMES_87366298 MORGAN HILL 301.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234671.pdf,P1: Raked edge detected; manual angle review recommended. | P2: Raked edge detected; manual angle review recommended.
ISSUES,234672,6/11/2026,87601833 FALLS 10,DAN RYAN BUILDERS,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order DAN RYAN_87601833 FALLS 10.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234672.pdf,P1: Raked edge detected; manual angle review recommended. | P2: Raked edge detected; manual angle review recommended.
ISSUES,234673,6/11/2026,88329890 DAVIDSON 12,SAUSSY BURBANK HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order SAUSSY BURBANK_88329890 DAVIDSON 12.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234673.pdf,P2: Raked edge detected; manual angle review recommended.
ISSUES,234674,6/11/2026,88329890.2 DAVIDSON 12,SAUSSY BURBANK HOMES,"P1, P2",C:\Users\brandon.m.smith\My Projects\Showers\Input\Orders\Glass Order SAUSSY BURBANK_88329890.2 DAVIDSON 12.pdf,C:\Users\brandon.m.smith\My Projects\Showers\Output\Sketches\234674.pdf,P2: Raked edge detected; manual angle review recommended.
